x (m)	y (m)	yn (m)	yc (m)	z (m)
126.0000	127.6542	1.2000	0.9000	0.1260
127.0000	128.6542	1.2000	0.9000	0.1270
128.0000	129.6542	1.2000	0.9000	0.1280
129.0000	130.6542	1.2000	0.9000	0.1290
130.0000	131.6542	1.2000	0.9000	0.1300
131.0000	132.6542	1.2000	0.9000	0.1310
132.0000	133.6542	1.2000	0.9000	0.1320
133.0000	134.6542	1.2000	0.9000	0.1330
134.0000	135.6542	1.2000	0.9000	0.1340
135.0000	136.6542	1.2000	0.9000	0.1350
136.0000	137.6542	1.2000	0.9000	0.1360
137.0000	138.6542	1.2000	0.9000	0.1370
138.0000	139.6542	1.2000	0.9000	0.1380
139.0000	140.6542	1.2000	0.9000	0.1390
140.0000	141.6542	1.2000	0.9000	0.1400
141.0000	142.6542	1.2000	0.9000	0.1410
142.0000	143.6542	1.2000	0.9000	0.1420
143.0000	144.6542	1.2000	0.9000	0.1430
144.0000	145.6542	1.2000	0.9000	0.1440
145.0000	146.6542	1.2000	0.9000	0.1450
146.0000	147.6542	1.2000	0.9000	0.1460
147.0000	148.6542	1.2000	0.9000	0.1470
148.0000	149.6542	1.2000	0.9000	0.1480
149.0000	150.6542	1.2000	0.9000	0.1490
150.0000	151.6542	1.2000	0.9000	0.1500
151.0000	152.6542	1.2000	0.9000	0.1510
152.0000	153.6542	1.2000	0.9000	0.1520
153.0000	154.6542	1.2000	0.9000	0.1530
154.0000	155.6542	1.2000	0.9000	0.1540
155.0000	156.6542	1.2000	0.9000	0.1550
156.0000	157.6542	1.2000	0.9000	0.1560
157.0000	158.6542	1.2000	0.9000	0.1570
158.0000	159.6542	1.2000	0.9000	0.1580
159.0000	160.6542	1.2000	0.9000	0.1590
160.0000	161.6542	1.2000	0.9000	0.1600
161.0000	162.6542	1.2000	0.9000	0.1610
162.0000	163.6542	1.2000	0.9000	0.1620
163.0000	164.6542	1.2000	0.9000	0.1630
164.0000	165.6542	1.2000	0.9000	0.1640
165.0000	166.6542	1.2000	0.9000	0.1650
166.0000	167.6542	1.2000	0.9000	0.1660
167.0000	168.6542	1.2000	0.9000	0.1670
168.0000	169.6542	1.2000	0.9000	0.1680
169.0000	170.6542	1.2000	0.9000	0.1690
170.0000	171.6542	1.2000	0.9000	0.1700
171.0000	172.6542	1.2000	0.9000	0.1710
172.0000	173.6542	1.2000	0.9000	0.1720
173.0000	174.6542	1.2000	0.9000	0.1730
174.0000	175.6542	1.2000	0.9000	0.1740
175.0000	176.6542	1.2000	0.9000	0.1750
176.0000	177.6542	1.2000	0.9000	0.1760
177.0000	178.6542	1.2000	0.9000	0.1770
178.0000	179.6542	1.2000	0.9000	0.1780
179.0000	180.6542	1.2000	0.9000	0.1790
180.0000	181.6542	1.2000	0.9000	0.1800
181.0000	182.6542	1.2000	0.9000	0.1810
182.0000	183.6542	1.2000	0.9000	0.1820
183.0000	184.6542	1.2000	0.9000	0.1830
184.0000	185.6542	1.2000	0.9000	0.1840
185.0000	186.6542	1.2000	0.9000	0.1850
186.0000	187.6542	1.2000	0.9000	0.1860
187.0000	188.6542	1.2000	0.9000	0.1870
188.0000	189.6542	1.2000	0.9000	0.1880
189.0000	190.6542	1.2000	0.9000	0.1890
190.0000	191.6542	1.2000	0.9000	0.1900
191.0000	192.6542	1.2000	0.9000	0.1910
192.0000	193.6542	1.2000	0.9000	0.1920
193.0000	194.6542	1.2000	0.9000	0.1930
194.0000	195.6542	1.2000	0.9000	0.1940
195.0000	196.6542	1.2000	0.9000	0.1950
196.0000	197.6542	1.2000	0.9000	0.1960
197.0000	198.6542	1.2000	0.9000	0.1970
198.0000	199.6542	1.2000	0.9000	0.1980
199.0000	200.6542	1.2000	0.9000	0.1990
200.0000	201.6542	1.2000	0.9000	0.2000
201.0000	202.6542	1.2000	0.9000	0.2010
202.0000	203.6542	1.2000	0.9000	0.2020
203.0000	204.6542	1.2000	0.9000	0.2030
204.0000	205.6542	1.2000	0.9000	0.2040
205.0000	206.6542	1.2000	0.9000	0.2050
206.0000	207.6542	1.2000	0.9000	0.2060
207.0000	208.6542	1.2000	0.9000	0.2070
208.0000	209.6542	1.2000	0.9000	0.2080
209.0000	210.6542	1.2000	0.9000	0.2090
210.0000	211.6542	1.2000	0.9000	0.2100
211.0000	212.6542	1.2000	0.9000	0.2110
212.0000	213.6542	1.2000	0.9000	0.2120
213.0000	214.6542	1.2000	0.9000	0.2130
214.0000	215.6542	1.2000	0.9000	0.2140
215.0000	216.6542	1.2000	0.9000	0.2150
216.0000	217.6542	1.2000	0.9000	0.2160
217.0000	218.6542	1.2000	0.9000	0.2170
218.0000	219.6542	1.2000	0.9000	0.2180
219.0000	220.6542	1.2000	0.9000	0.2190
220.0000	221.6542	1.2000	0.9000	0.2200
221.0000	222.6542	1.2000	0.9000	0.2210
222.0000	223.6542	1.2000	0.9000	0.2220
223.0000	224.6542	1.2000	0.9000	0.2230
224.0000	225.6542	1.2000	0.9000	0.2240
225.0000	226.6542	1.2000	0.9000	0.2250
226.0000	227.6542	1.2000	0.9000	0.2260
227.0000	228.6542	1.2000	0.9000	0.2270
228.0000	229.6542	1.2000	0.9000	0.2280
229.0000	230.6542	1.2000	0.9000	0.2290
230.0000	231.6542	1.2000	0.9000	0.2300
231.0000	232.6542	1.2000	0.9000	0.2310
232.0000	233.6542	1.2000	0.9000	0.2320
233.0000	234.6542	1.2000	0.9000	0.2330
234.0000	235.6542	1.2000	0.9000	0.2340
235.0000	236.6542	1.2000	0.9000	0.2350
236.0000	237.6542	1.2000	0.9000	0.2360
237.0000	238.6542	1.2000	0.9000	0.2370
